ASZ,-6.010,150.369,"Asirim"
ATA,-9.347,-77.598,"German Arias Graziani"
ATB,17.710,34.057,"Atbara"
ATC,24.629,-75.674,"Arthur's Town"
ATD,-8.873,161.011,"Uru Harbour"
ATE,34.193,-95.650,"Antlers Muni"
ATF,-1.212,-78.575,"Chachoan Regional"
ATG,33.869,72.401,"Minhas"
ATH,37.936,23.945,"Athens E Venizelos"
ATI,-30.401,-56.508,"Artigas"
ATJ,-19.839,47.064,"Antsirabe"
ATK,70.467,-157.436,"Atqasuk Edward Burnell"
ATL,33.637,-84.428,"Hartsfield Jackson Atlanta"
ATM,-3.253,-52.254,"Altamira Interstate"
ATN,-3.669,152.438,"Namatanai"
ATO,39.212,-82.229,"Ohio University"
ATP,-3.144,142.347,"Aitape"
ATQ,31.710,74.797,"Sri Guru Ram Dass Jee"
ATR,20.507,-13.043,"Atar"
ATS,32.853,-104.468,"Artesia Muni"
ATT,60.867,-162.273,"Atmautluak"
ATV,13.240,18.316,"Ati"
ATW,44.258,-88.519,"Appleton"
ATX,51.852,68.367,"Atbasar"
ATY,44.914,-97.155,"Watertown Regional"
ATZ,27.051,31.016,"Asyut"
AUA,12.501,-70.015,"Queen Beatrix"
AUC,7.069,-70.737,"Santiago Perez"
AUD,-18.515,139.878,"Augustus Downs"
AUE,28.900,33.202,"Abu Rudeis"
AUF,47.850,3.497,"Auxerre-Branches"
AUG,44.321,-69.797,"Augusta State"
AUH,24.444,54.652,"Abu Dhabi"
AUI,-1.461,143.065,"Aua Island"
AUJ,-4.216,142.823,"Ambunti"
AUK,62.680,-164.660,"Alakanuk"
AUL,8.145,171.173,"Aur Island"
AUM,43.665,-92.933,"Austin Muni"
AUN,38.955,-121.082,"Auburn Muni"
AUO,32.615,-85.434,"Auburn University Regional"
AUP,-9.931,149.386,"Agaun"
AUQ,-9.769,-139.011,"Hiva Oa-Atuona"
AUR,44.891,2.422,"Aurillac"
AUS,30.198,-97.662,"Austin Bergstrom"
AUT,-8.243,125.606,"Atauro"
AUU,-13.354,141.720,"Aurukun"
AUV,-5.731,148.445,"Aumo"
AUW,44.926,-89.627,"Wausau Downtown"
AUX,-7.228,-48.241,"Araguaina"
AUY,-20.249,169.771,"Aneityum"
AUZ,41.772,-88.476,"Aurora Muni"
AVA,26.261,105.873,"Anshun Huangguoshu"
AVB,46.032,12.597,"Aviano"
AVG,-15.700,130.000,"Auvergne"
AVI,22.027,-78.790,"Maximo Gomez"
AVK,46.250,102.802,"Arvaikheer"
AVL,35.436,-82.542,"Asheville Regional"
AVN,43.907,4.902,"Avignon-Caumont"
AVO,27.591,-81.528,"Avon Park Executive"
AVP,41.339,-75.723,"Wilkes Barre Scranton"
AVR,38.883,-9.030,"Alverca"
AVU,-9.868,160.411,"Avu Avu"
AVV,-38.039,144.469,"Avalon"
AVW,32.409,-111.216,"Marana Regional"
AVX,33.405,-118.416,"Catalina"
AWA,7.100,38.396,"Hawassa"
AWB,-8.006,142.748,"Awaba"
AWD,-19.235,169.601,"Aniwa"
AWE,-0.545,9.444,"Alowe"
AWK,19.282,166.637,"Wake Island"
AWM,35.135,-90.234,"West Memphis Muni"
AWN,-26.489,139.260,"Alton Downs"
AWP,-20.500,137.750,"Austral Downs"
AWZ,31.337,48.762,"Qasem Soleimani"
AXA,18.205,-63.054,"Clayton J Lloyd"
AXB,44.312,-75.900,"Maxson"
AXC,-22.958,145.250,"Aramac"
AXD,40.856,25.956,"Alexandroupoli Democritus"
AXE,-26.876,-52.373,"Xanxere"
AXF,38.748,105.589,"Alxa Left Banner Bayanhot"
AXG,43.078,-94.272,"Algona Muni"
AXJ,32.482,130.159,"Amakusa"
AXK,14.551,46.826,"Ataq"
AXL,-19.060,136.710,"Alexandria Homestead"
AXM,4.453,-75.766,"El Eden"
AXN,45.866,-95.395,"Chandler"
AXO,-8.245,124.219,"Pantar Kabir"
AXP,22.442,-73.971,"Spring Point"
AXR,-15.248,-146.617,"Arutua"
AXS,34.698,-99.338,"Altus Quartz Mountain Regional"
AXT,39.616,140.219,"Akita"
AXU,14.147,38.773,"Axum"
AXV,40.493,-84.299,"Neil Armstrong"
AXX,36.422,-105.290,"Angel Fire"
AYA,8.300,-75.150,"Ayapel"
AYC,8.600,-73.617,"Ayacucho"
AYD,-19.291,136.079,"Alroy Downs"
AYG,1.544,-73.933,"Yaguara"
AYI,-0.383,-72.267,"Yari"
AYK,50.319,66.953,"Arkalyk North"
AYL,-18.018,135.535,"Anthony Lagoon"
AYN,36.134,114.344,"Anyang"
AYO,-27.378,-56.857,"Juan De Ayolas"
AYP,-13.155,-74.204,"Alfredo Mendivil Duarte"
AYQ,-25.186,130.977,"Ayers Rock Connellan"
AYR,-19.596,147.324,"Ayr"
AYS,31.249,-82.396,"Waycross Ware County"
AYT,36.899,30.801,"Antalya"
AYU,-6.338,145.904,"Aiyura"
AYW,-1.160,132.464,"Ayawasi"
AYX,-10.729,-73.767,"Teniente G Perez Pinedo"
AZA,33.308,-111.655,"Phoenix-Mesa Gateway"
AZB,-10.299,149.338,"Amazon Bay"
AZD,31.905,54.277,"Shahid Sadooghi"
AZG,19.093,-102.394,"Apatzingan/Pablo L. Sidar"
AZI,24.428,54.458,"Al Bateen Executive"
AZJ,32.236,119.719,"Zhenjiang Dalu"
AZL,-13.466,-58.867,"Fazenda Tucunare"
AZN,40.728,72.294,"Andizhan"
AZO,42.235,-85.552,"Kalamazoo Battle Creek"
AZP,19.574,-99.291,"Jorge Jimenez Cantu"
AZR,27.838,-0.186,"Touat Mohamed Belkebir"
AZS,19.269,-69.737,"Samana El Catey"
AZT,6.817,-73.283,"Zapatoca"
AZZ,-7.862,13.116,"Ambriz"
BAA,-5.331,151.008,"Bialla"
BAB,39.136,-121.437,"Beale Air Force Base"
BAC,4.583,-72.967,"Barranca De Upia"
BAD,32.502,-93.663,"Barksdale Air Force Base"
BAE,44.387,6.609,"Barcelonnette/Saint-Pons"
BAF,42.158,-72.716,"Westfield-Barnes Regional"
BAG,16.375,120.620,"Loakan"
BAH,26.267,50.638,"Bahrain"
BAI,9.164,-83.330,"Buenos Aires"
BAJ,-4.883,149.133,"Bali"
BAL,37.929,41.117,"Batman"
BAM,40.599,-116.874,"Battle Mountain"
BAN,-4.316,20.415,"Basongo"
BAQ,10.890,-74.781,"Ernesto Cortissoz"
BAR,19.141,110.453,"Qionghai Bo'ao"
BAS,-6.991,155.887,"Ballalae"
BAT,-20.584,-48.594,"Chafei Amsei"
