ANN,333a2d0abedef8ad,"Annette Island"
ANO,1e4fdaddd514244a,"Angoche"
ANP,5fa105c1a089dd43,"Lee"
ANQ,5f87bda308957557,"Tri State Steuben County"
ANR,3f8189d2b6cb8dbf,"Antwerp/Deurne"
ANS,55b526618685fc31,"Andahuaylas"
ANU,5bd510c3f22907b0,"V C Bird"
ANV,336135a5a40dc48e,"Anvik"
ANW,5f6a80c8c38cde13,"Ainsworth Regional"
ANX,3b9d1de863e37050,"Andoya Andenes"
ANY,5e6cbdafcd52194d,"Anthony Muni"
ANZ,23131d839f28882c,"Angus Downs"
AOB,4e7806a30dc2d6a5,"Annanberg"
AOC,3e9f8bc57c1fffd1,"Altenburg-Nobitz"
AOD,1baa39cc9555d608,"Abou-Deia"
AOE,1cf63c6ff1d1199e,"Anadolu"
AOG,33f52ceaa023d2d0,"Anshan Teng'ao/Anshan"
AOH,5f85e95a16e3e5a9,"Lima Allen County"
AOI,19fec662e343af56,"Marche"
AOJ,31d57921436160fb,"Aomori"
AOK,1ce387742e78a915,"Karpathos"
AOL,52d65c7b0f02d809,"Paso De Los Libres"
AOM,2cd4ad3ac79ac491,"Adam"
AOO,5f94c90d727d5ee2,"Altoona Blair County"
AOP,57a7a34af945b638,"Alfredo Vladimir Sara Bauer"
AOR,2953f6834a4f7db1,"Sultan Abdul Halim"
AOT,3f9d0b4a269b4933,"Aosta"
AOU,2a4dceaec0e8e2d7,"Attopeu"
APA,5f52cd2a439aa4a3,"Centennial"
APB,55c2037e048e68ba,"Apolo"
APC,5e3f38d28f275f49,"Napa County"
APF,5c9f754b649c1645,"Naples Muni"
APG,5fa21979f38fc5c0,"Phillips Army Air"
APH,5e9ff257d4381237,"Mary Walker LZ"
API,58bc3c177ff53170,"Gomez Nino Apiay"
APK,414ff7be3b978ce7,"Apataki"
APL,1e5e1b13e3b512f0,"Nampula"
APN,380e0682dacdeff0,"Alpena County Regional"
APO,59a897316698bbd0,"Antonio Roldan Betancur"
APP,4d6e37ede7b64a32,"Asapa"
APQ,1165187b5ddd647d,"Arapiraca"
APR,4e7d1b5c648ef27f,"April River"
APS,54fd2522d059832a,"Anapolis"
APT,5e87b864ea7d4e6b,"Marion County/Brown"
APU,53e77ea904f29065,"Captain Joao Busse"
APV,5e36b4c2108804ef,"Apple Valley"
APW,4657580d068571a7,"Faleolo"
APX,53e87a96572e9ce6,"Arapongas"
APY,56f3c94bc5da1632,"Alto Parnaiba"
APZ,50aef9faecdf9c16,"Zapala"
AQA,53fd02404f617274,"Araraquara"
AQB,5a7ec978c477ff69,"Quiche"
AQG,2d3b9a031a95de84,"Anqing Tianzhushan/A North"
AQI,2de5e79884b9df01,"Al Qaisumah/Hafr Al Batin"
AQJ,1dda87f4e90c6aff,"Aqaba King Hussein"
AQM,56d102d494017726,"Ariquemes"
AQP,54bd66e284808253,"Rodriguez Ballon"
AQY,335423a8e3a377cd,"Girdwood-Alyeska"
ARA,5d7aa2d866ea55d4,"Acadiana Regional"
ARB,5f89e3a351ba01f8,"Ann Arbor Muni"
